GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
NC_040159.1	116794	Heterodermia speciosa	Heterodermia speciosa voucher NYBG:49524 mitochondrion, complete genome	75318	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia	4	29.1182	0.398406
KY911081.1	55194	Malassezia furfur	Malassezia furfur culture CBS:1878 strain CBS 1878 mitochondrion, complete genome	48161	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	29.0862	0
JX271275.1	936046	Agaricus bisporus var. bisporus H97	Agaricus bisporus var. bisporus H97 mitochondrion, complete genome	135005	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	4	29.0704	0.111111
NC_013839.1	52253	Candida sojae	Candida sojae mitochondrion, complete genome	39415	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	29.0687	0.381679
NC_039662.1	195770	Cladonia leporina	Cladonia leporina voucher 6543 mitochondrion, complete genome	50045	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.0591	0.3003
NC_040967.1	1167838	Conidiobolus heterosporus	Conidiobolus heterosporus strain RCEF6331 mitochondrion, complete genome	53364	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	4	29.0554	0
NC_040008.1	1077358	Coniothyrium glycines	Coniothyrium glycines isolate PG-21 mitochondrion, complete genome	98533	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	4	29.0234	0.304878
KY911083.1	55194	Malassezia furfur	Malassezia furfur culture CBS:7019 mitochondrion, complete genome	49305	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	29.0102	0
NC_036998.1	98342	Pleurotus citrinopileatus	Pleurotus citrinopileatus mitochondrion, complete genome	60694	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	28.9917	7.17822
NC_042822.1	196765	Cladonia macilenta	Cladonia macilenta voucher 49444 mitochondrion, complete genome	46553	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	28.9849	0
MK318263.1	195782	Cladonia ravenelii	UNVERIFIED: Cladonia ravenelii mitochondrion sequence	48008	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	28.9771	0.3125
MH221526.1	2217878	Lecanora markjohnstonii	UNVERIFIED: Lecanora sp. KGK-2018a mitochondrion sequence	62854	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	4	28.9594	0.477327
KY911086.1	55194	Malassezia furfur	Malassezia furfur culture CBS:JPLK23 mitochondrion, complete genome	48933	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	28.9387	0
JH925097.1	1220162	Trichosporon asahii var. asahii CBS 8904	Trichosporon asahii var. asahii CBS 8904 mitochondrion, complete sequence, whole genome shotgun sequence	32567	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	4	28.9155	0
NW_014040924.1	1186058	Trichosporon asahii var. asahii CBS 2479	Trichosporon asahii var. asahii CBS 2479 mitochondrion, complete sequence, whole genome shotgun sequence	32568	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	4	28.9124	0
NC_042183.1	1585466	Lecanora saxigena	Lecanora saxigena voucher 49057 mitochondrion, complete genome	56579	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	4	28.9001	0
NC_016680.1	169388	Fusarium solani	Fusarium solani mitochondrion, complete genome	62978	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	28.8783	0.238663
MH308712.1	2563724	Arthonia quintaria	UNVERIFIED: Arthonia quintaria mitochondrion sequence	50454	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	4	28.875	0
NC_009880.1	43049	Tilletia indica	Tilletia indica mitochondrion, complete genome	65147	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	4	28.8664	0
NC_042185.1	365009	Heterodermia casarettiana	Heterodermia casarettiana voucher NYBG:Lendemer 46038 mitochondrion, complete genome	84088	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia	4	28.819	1.25
NC_023127.1	210010	Rhynchosporium orthosporum	Rhynchosporium orthosporum mitochondrion, complete genome	49539	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium		4	28.804	0
NC_010651.1	117179	Tilletia walkeri	Tilletia walkeri mitochondrion, complete genome	59352	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	4	28.7932	0
MH924828.1	1755430	Ilyonectria sp.	Ilyonectria sp. strain s56 mitochondrion, complete genome	34584	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	4	28.7594	0
NC_029851.1	281364	Acremonium fuci	Acremonium fuci strain 3a34 culture-collection VKM:F-4473 mitochondrion, complete genome	24565	Ascomycota	Sordariomycetes	Hypocreales	Acremonium		4	28.728	0
KR864756.1	1761922	Emericellopsis sp. 1a5	Emericellopsis sp. 1a5 mitochondrion, complete genome	24951	Ascomycota	Sordariomycetes	Hypocreales	Emericellopsis		4	28.7269	0
NC_030252.1	29855	Nectria cinnabarina	Nectria cinnabarina strain 5175 mitochondrion, complete genome	69895	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	4	28.7211	0.215054
CM008263.2	2282107	Pyrrhoderma noxium	Pyrrhoderma noxium strain FFPRI411160 mitochondrion, complete sequence, whole genome shotgun sequence	163449	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	4	28.6716	0
MN640580.1	1973308	Conidiobolus sp.	Conidiobolus sp. mitochondrion, complete genome	26612	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	4	28.6591	0
NC_035636.1	1547544	Pithomyces chartarum	Pithomyces chartarum mitochondrion, complete genome	68926	Ascomycota	Dothideomycetes	Pleosporales	Astrosphaeriellaceae	Pithomyces	4	28.6275	0
MK697668.1	1929893	Plectosphaerella sp.	Plectosphaerella sp. mitochondrion, complete genome	31004	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	4	28.6117	0.485437
NC_033907.1	655981	Pseudogymnoascus destructans	Pseudogymnoascus destructans strain 20631-21 mitochondrion, complete genome	32181	Ascomycota	Leotiomycetes	Pseudeurotiaceae	Pseudogymnoascus		4	28.5483	0
NC_042229.1	64372	Armillaria sinapina	Armillaria sinapina mitochondrion, complete genome	103563	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	4	28.5082	0.289855
MH359412.1	2040699	Bacidia sp.	Bacidia sp. voucher NYBG:Lendemer 48883 mitochondrion, complete genome	38546	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidia	4	28.5052	0
MK331994.1	2575987	Nadvornikia sorediata	UNVERIFIED: Nadvornikia sorediata mitochondrion sequence	29519	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Nadvornikia	4	28.466	0
NC_031828.1	393283	Pestalotiopsis fici	Pestalotiopsis fici mitochondrion, complete genome	69529	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	4	28.432	0
NC_008068.1	5530	Metarhizium anisopliae	Metarhizium anisopliae mitochondrion, complete genome	24673	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	4	28.4268	0
NC_034790.1	1940652	Gomphillus americanus	Gomphillus americanus voucher NYBG:Lendemer 45954 mitochondrion, complete genome	28370	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Gomphillus	4	28.4092	0
NC_027660.1	332947	Hirsutella minnesotensis	Hirsutella minnesotensis strain 3608 mitochondrion, complete genome	52245	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	28.408	0
NC_034779.1	1986077	Phyllopsora corallina	Phyllopsora corallina voucher 45963 mitochondrion, complete genome	39591	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Phyllopsora	4	28.4056	0
NC_014693.1	497108	Candida jiufengensis	Candida jiufengensis mitochondrion, complete genome	29672	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	28.3418	0
NC_037198.1	1341201	Pseudocercospora mori	Pseudocercospora mori mitochondrion, complete genome	49363	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	4	28.3323	0
NC_030206.1	29852	Hypomyces aurantius	Hypomyces aurantius mitochondrion, complete genome	71638	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	4	28.3298	0
NC_042773.1	29883	Laccaria bicolor	Laccaria bicolor mitochondrion, complete genome	95304	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	4	28.3213	0.629921
NC_022835.1	280754	Pochonia chlamydosporia	Metacordyceps chlamydosporia strain 170 mitochondrion, complete genome	25615	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	4	28.3098	0
NC_030218.1	398673	Trichoderma gamsii	Trichoderma gamsii strain KUC1747 mitochondrion, complete genome	29303	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	4	28.2974	0
MG979071.1	111463	Hirsutella rhossiliensis	Hirsutella rhossiliensis strain OWVT-1 mitochondrion, complete genome	62949	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	28.2944	0
NC_044675.1	108901	Porodaedalea pini	Porodaedalea pini strain BCRC 35384 mitochondrion, complete genome	144970	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Porodaedalea	4	28.2719	0.207039
NC_044679.1	27342	Schizopora paradoxa	Schizopora paradoxa strain KUC8140 mitochondrion, complete genome	57732	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora	4	28.2483	0.260417
NC_030164.1	111463	Hirsutella rhossiliensis	Hirsutella rhossiliensis isolate USA-87-5 mitochondrion, complete genome	62483	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	28.2196	0
NC_036158.1	4829	Absidia glauca	Absidia glauca strain CBS 101.48 mitochondrion, complete genome	63080	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	4	28.2111	2.14286
KY911097.1	76776	Malassezia slooffiae	Malassezia slooffiae culture CBS:7956 mitochondrion, complete genome	40575	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	28.2	0
NC_030340.1	64609	Ilyonectria destructans	Ilyonectria destructans isolate 2007/P/476 mitochondrion, complete genome	42895	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	4	28.1942	0
NC_022157.1	434046	Candida tetrigidarum	Candida tetrigidarum strain NRRL Y-48142 mitochondrion, complete genome	52426	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	28.149	0
NC_027422.1	79858	Pseudogymnoascus pannorum	Pseudogymnoascus pannorum strain NN050741 mitochondrion, complete genome	26918	Ascomycota	Leotiomycetes	Pseudeurotiaceae	Pseudogymnoascus		4	28.1415	0
NC_045218.1	288723	Turbinellus floccosus	Turbinellus floccosus mitochondrion, complete genome	62846	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Turbinellus	4	28.0941	0
KY911087.1	76773	Malassezia globosa	Malassezia globosa culture CBS:7874 mitochondrion, complete genome	34808	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	28.0517	0
KY911088.1	76773	Malassezia globosa	Malassezia globosa culture CBS:7966 mitochondrion, complete genome	34689	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	28.0462	0
MH308714.1	2563725	Arthonia rubella	UNVERIFIED: Arthonia rubella mitochondrion sequence	27418	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	4	28.0366	0
NC_015789.1	576137	Phialocephala subalpina	Phialocephala subalpina mitochondrion, complete genome	43742	Ascomycota	Leotiomycetes	Helotiales	Phialocephala		4	27.9656	0
NC_042878.1	1806994	Synchytrium microbalum	Synchytrium microbalum strain JEL517 mitochondrion, complete genome	23811	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	16	27.962	0
NC_039441.1	117066	Myochromella boudieri	Myochromella boudieri strain TB01 mitochondrion, complete genome	99774	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Myochromella	4	27.9388	0.451128
NC_038224.1	47721	Lyophyllum shimeji	Lyophyllum shimeji mitochondrion, complete genome	73678	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	4	27.9375	1.01833
NC_036667.1	29856	Clonostachys rosea	Clonostachys rosea strain 6792 mitochondrion, complete genome	40921	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	4	27.8946	0
NC_006838.1	78898	Mortierella verticillata	Mortierella verticillata mitochondrion, complete genome	58745	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	4	27.8772	0
NC_030334.1	395010	Zasmidium cellare	Zasmidium cellare mitochondrion, complete genome	23743	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zasmidium	4	27.8692	0
NC_022176.1	391825	Candida chauliodis	Candida chauliodes strain NRRL Y-27909 mitochondrion, complete genome	77153	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	27.8521	0.972763
KY911091.1	76774	Malassezia obtusa	Malassezia obtusa culture CBS:7876 mitochondrion, complete genome	60147	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	27.8433	0
KY305663.1	1983619	Phlyctis boliviensis	UNVERIFIED: Phlyctis boliviensis mitochondrion sequence	25319	Ascomycota	Lecanoromycetes	Phlyctidaceae	Phlyctis		4	27.8333	0
NC_041427.1	1405805	Aspergillus pseudoglaucus	Aspergillus pseudoglaucus mitochondrion, complete genome	53882	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	27.8217	0.278552
NC_037075.1	101201	Trichoderma asperellum	Trichoderma asperellum strain B05 mitochondrion, complete genome	29999	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	4	27.799	0
KY911089.1	76773	Malassezia globosa	Malassezia globosa culture CBS:7990 mitochondrion, complete genome	38672	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	27.7951	0
NC_022156.1	497109	Candida pseudojiufengensis	Candida pseudojiufengensis strain AS2.3693 mitochondrion, complete genome	33625	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	27.7708	0
KY924882.1	29910	Tolypocladium inflatum	Tolypocladium inflatum strain ARSEF 9506 mitochondrion, complete genome	25328	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	4	27.7619	0
KY924881.1	29910	Tolypocladium inflatum	Tolypocladium inflatum strain ARSEF 3433 mitochondrion, complete genome	25328	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	4	27.7579	0
NC_036382.1	29910	Tolypocladium inflatum	Tolypocladium inflatum strain ARSEF 3280 mitochondrion, complete genome	25328	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	4	27.75	0
NC_036144.1	49224	Trichoderma hamatum	Trichoderma hamatum, complete genome	32763	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	4	27.6881	0
NC_025768.1	1173061	Geotrichum candidum	Galactomyces candidum complete mitochondrial genome, strain CLIB 918	29008	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	3	27.6304	0
NC_015400.1	221103	Moniliophthora roreri	Moniliophthora roreri mitochondrion, complete genome	93722	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	4	27.6004	0.961538
NC_045198.1	933333	Amanita inopinata	Amanita inopinata mitochondrion, complete genome	59691	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	27.5668	0.251889
NC_022708.1	931006	Beauveria pseudobassiana	Beauveria pseudobassiana strain C1010 mitochondrion, complete genome	28006	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.552	0
MK294991.1	1885590	Bacidia sorediata	Bacidia sorediata mitochondrion, complete genome	35525	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidia	4	27.5424	0
NC_043850.1	264952	Paecilomyces penicillatus	Paecilomyces penicillatus strain SAAS_ppe1 mitochondrion, complete genome	27480	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	4	27.5228	0
NC_031384.1	71617	Tolypocladium ophioglossoides	Tolypocladium ophioglossoides isolate L2 mitochondrion, complete genome	35159	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	4	27.5185	0
KF906135.1	73839	Epichloe festucae var. lolii	UNVERIFIED: Neotyphodium lolii mitochondrion sequence	88756	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	4	27.5183	0
KX066187.1	1915362	Epichloe hybrida	Epichloe hybrida strain Lp1 mitochondrion, complete genome	88750	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	4	27.5048	0
NC_032064.1	35717	Epichloe festucae	Epichloe festucae strain AR5 mitochondrion, complete genome	88744	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	4	27.5037	0
KY911098.1	253288	Malassezia yamatoensis	Malassezia yamatoensis culture CBS:9725 mitochondrion, complete genome	41233	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	27.3942	0
NC_011194.1	118266	Beauveria brongniartii	Cordyceps brongniartii mitochondrion, complete genome	33926	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.3392	0.442478
NC_008248.1	27337	Verticillium dahliae	Verticillium dahliae mitochondrion, complete genome	27184	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	4	27.3149	0
NC_032030.1	45354	[Candida] intermedia	[Candida] intermedia strain CBS 141442 genome assembly, organelle: mitochondrion	21871	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	3	27.3149	0
KY348761.1	124099	Mycocalicium subtile	Mycocalicium subtile mitochondrion, partial genome	27263	Ascomycota	Eurotiomycetes	Mycocaliciales	Mycocaliciaceae	Mycocalicium	4	27.2523	0
NC_016955.1	52884	Peltigera malacea	Peltigera malacea mitochondrion, complete genome	63363	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	4	27.2496	0
NC_003388.1	51453	Trichoderma reesei	Trichoderma reesei mitochondrion, complete genome	42130	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	4	27.2429	0
NC_010652.2	176275	Beauveria bassiana	Beauveria bassiana mitochondrion, complete genome	29961	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.2161	0
NC_004514.1	2231603	Akanthomyces muscarius	Lecanicillium muscarium mitochondrion, complete genome	24499	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	4	27.1656	0
KP722500.2	73501	Cordyceps militaris	Cordyceps militaris isolate CM06 mitochondrion, complete genome	26535	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	27.1477	0
JQ355001.1	33178	Aspergillus terreus	UNVERIFIED: Aspergillus terreus strain NIH2624 mitochondrial sequence	24658	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	27.1423	0
KT201148.1	176275	Beauveria bassiana	Beauveria bassiana isolate k4 mitochondrion, complete genome	28816	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.0937	0
NC_016957.1	161997	Peltigera membranacea	Peltigera membranacea mitochondrion, complete genome	62785	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	4	27.0861	0
MG720572.1	394545	Pertusaria plittiana	UNVERIFIED: Pertusaria plittiana mitochondrion sequence	93709	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	Pertusaria	4	27.0844	0.320513
NC_037937.1	1566825	Ganoderma leucocontextum	Ganoderma leucocontextum mitochondrion, complete genome	88194	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	27.0733	0
MK330851.1	2569847	Acanthothecis fontana	UNVERIFIED: Acanthothecis fontana mitochondrion sequence	45915	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Acanthothecis	4	27.0414	0
NC_010166.1	4959	Debaryomyces hansenii	Debaryomyces hansenii mitochondrion, complete genome	29462	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	3	27.034	0
KT201149.1	176275	Beauveria bassiana	Beauveria bassiana isolate e17 mitochondrion, complete genome	29944	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.0184	0
MH211586.1	176275	Beauveria bassiana	Beauveria bassiana strain ZJ001 mitochondrion, complete genome	31258	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	27.016	0
EU100742.1	176275	Beauveria bassiana	Cordyceps bassiana isolate Bb147 mitochondrion, complete genome	32263	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	26.9953	0
MK234910.1	45847	Cordyceps tenuipes	Cordyceps tenuipes mitochondrion, complete genome	31386	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.9793	0
KP719096.1	73501	Cordyceps militaris	Cordyceps militaris isolate CM01 mitochondrion, complete genome	31854	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.9623	0
NC_032063.1	5113	Epichloe typhina	Epichloe typhina strain E8 mitochondrion, complete genome	84630	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	4	26.9598	0
FN870377.1	4920	Millerozyma farinosa	Millerozyma farinosa mitochondrial genome, strain CBS185	32065	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Millerozyma	3	26.9577	0
KP719097.1	73501	Cordyceps militaris	Cordyceps militaris isolate V26-17 mitochondrion, complete genome	29478	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.9388	0
NC_007445.1	5061	Aspergillus niger	Aspergillus niger mitochondrion, complete genome	31103	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.9372	0
NC_029238.1	1051616	Verticillium nonalfalfae	Verticillium nonalfalfae mitochondrion, complete genome	26139	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	4	26.9195	0
NC_044963.1	5158	Ceratocystis fimbriata	Ceratocystis fimbriata isolate CMW15049 mitochondrion, complete genome	103403	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	4	26.9153	0
NC_018359.1	100816	Madurella mycetomatis	Madurella mycetomatis mitochondrion, complete genome	45590	Ascomycota	Sordariomycetes	Sordariales	Madurella		4	26.8867	0
NC_022161.1	36911	Clavispora lusitaniae	Clavispora lusitaniae strain CBS 6936 mitochondrion, complete genome	24896	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	4	26.8687	1.21212
NC_020430.1	386457	Ceratocystis cacaofunesta	Ceratocystis cacaofunesta mitochondrion, complete genome	103147	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	4	26.8171	0
NC_007597.1	5068	Aspergillus tubingensis	Aspergillus tubingensis mitochondrion, complete genome	33656	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.8125	0
NC_022834.1	73501	Cordyceps militaris	Cordyceps militaris strain EFCC-C2 mitochondrion, complete genome	33277	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.8024	0
NC_022933.1	36075	Ganoderma sinense	Ganoderma sinense mitochondrion, complete genome	86451	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.7917	0
NC_020368.1	36066	Cantharellus cibarius	Cantharellus cibarius mitochondrion, complete genome	58656	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	4	26.7911	0
NC_036999.1	2015914	Pleurotus platypus	Pleurotus platypus mitochondrion, complete genome	73807	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	26.7859	2.43902
NC_031804.1	176453	Peltigera dolichorrhiza	Peltigera dolichorrhiza mitochondrion, complete genome	51156	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	4	26.784	0
NC_037756.1	409893	Cantharellus appalachiensis	Cantharellus appalachiensis isolate s38 mitochondrion, complete genome	73562	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	4	26.781	0.204082
NC_036103.1	45577	[Candida] psychrophila	Candida psychrophila strain NRRL Y-17665 mitochondrion, complete genome	38445	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	3	26.7734	0
NC_045185.1	357446	Ceratocystis albifundus	Ceratocystis albifundus isolate CMW17620 mitochondrion, complete genome	102548	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	4	26.7584	0
NC_022172.1	391826	Candida corydali	Candida corydali strain NRRL Y-27910 mitochondrion, complete genome	46389	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	26.7487	0.647249
NC_038091.1	5321	Pleurotus cornucopiae	Pleurotus cornucopiae isolate SWS_15 mitochondrion, complete genome	72134	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	26.7264	3.125
NC_030635.1	371061	Beauveria malawiensis	Beauveria malawiensis isolate k89 mitochondrion, complete genome	44135	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	26.7143	0
HF570115.2	5315	Ganoderma lucidum	Ganoderma lucidum G.260125-1 mitochondrial complete genome	60630	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.6799	0
NC_021750.1	5315	Ganoderma lucidum	Ganoderma lucidum mitochondrion, complete genome	60635	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.6766	0.247525
NC_037936.1	34467	Ganoderma tsugae	Ganoderma tsugae mitochondrion, complete genome	92511	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.671	0
NC_027188.1	29884	Ganoderma applanatum	Ganoderma applanatum strain CGMCC5.249 mitochondrion, complete genome	119803	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.6675	0
NC_027459.1	48254	Torulaspora globosa	Torulaspora globosa strain CBS 2947 mitochondrion, complete genome	45193	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	26.6379	0.332226
KJ764671.1	797268	Paecilomyces hepiali	UNVERIFIED: Paecilomyces hepiali mitochondrion sequence	24245	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	4	26.6294	0
NC_023268.1	5044	Acremonium chrysogenum	Acremonium chrysogenum mitochondrion, complete genome	27266	Ascomycota	Sordariomycetes	Hypocreales	Acremonium		4	26.604	0
